CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
"03115525";"L'OURCQ A MAROLLES 1";;707811;6896313;"26";"RGF93 / Lambert 93";"60385";"Marolles";"60";"Oise";"32";"Hauts-de-France";"HR144";"FRHR144";"L Ourcq de sa source au confluent de l Autheuil  inclus";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6340400";"F63-0400";"L'Ourcq";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";63;;;;
"03115616";"LE RU D'ALLAN A MAROLLES 1";;707827;6894309;"26";"RGF93 / Lambert 93";"60385";"Marolles";"60";"Oise";"32";"Hauts-de-France";"HR144-F6347000";"FRHR144-F6347000";"ru d allan";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6347000";"F6347000";"Ru d'Allan";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";63;;;;
"03115630";"LE RU D'AUTHEUIL A MAROLLES 1";;706244;6895487;"26";"RGF93 / Lambert 93";"60385";"Marolles";"60";"Oise";"32";"Hauts-de-France";"HR144-F6350600";"FRHR144-F6350600";"ru d autheuil";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6350600";"F6350600";"Ru d'Autheuil";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";79;;;;
"03115650";"L'OURCQ A MAREUIL-SUR-OURCQ 1";;705891;6893026;"26";"RGF93 / Lambert 93";"60380";"Mareuil-sur-Ourcq";"60";"Oise";"32";"Hauts-de-France";"HR146";"FRHR146";"L Ourcq du confluent de l Autheuil  exclu  au confluent de la Marne  exclu";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6360400";"F63-0400";"L'Ourcq";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";60;;;;
"03115695";"LA GRIVETTE A ANTILLY 1";;699074;6894145;"26";"RGF93 / Lambert 93";"60020";"Antilly";"60";"Oise";"32";"Hauts-de-France";"HR146-F6365000";"FRHR146-F6365000";"ruisseau la grivette";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6365000";"F6365000";"La Grivette";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";84;;;;
"03115700";"LA GRIVETTE A THURY-EN-VALOIS 1";;701773.81;6893417.03;"26";"RGF93 / Lambert 93";"60637";"Thury-en-Valois";"60";"Oise";"32";"Hauts-de-France";"HR146-F6365000";"FRHR146-F6365000";"ruisseau la grivette";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6365000";;;"2";"Station qualité située sur un cours d'eau";;2012-11-30;;2014-06-20;;"Non renseignée";"M";"Station de mesure Manuelle";72;;;;
"03115930";"LA GERGOGNE A ACY-EN-MULTIEN 1";;697735;6888453;"26";"RGF93 / Lambert 93";"60005";"Acy-en-Multien";"60";"Oise";"32";"Hauts-de-France";"HR146-F6384000";"FRHR146-F6384000";"la Gergogne";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6384000";"F6384000";"La Gergogne";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";80;;;;
"03132555";"LE RU DE CAMELIN A BRETIGNY 1";;707945;6939482;"26";"RGF93 / Lambert 93";"60105";"Brétigny";"60";"Oise";"32";"Hauts-de-France";"HR185-H0301000";"FRHR185-H0301000";"ru de camelin";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0301000";"H0301000";"Ru de Camelin";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";48;;;;
"03132615";"LE RU DE BELLE-FONTAINE A PONTOISE-LES-NOYON 1";;703387.38;6938838.64;"26";"RGF93 / Lambert 93";"60507";"Pontoise-lès-Noyon";"60";"Oise";"32";"Hauts-de-France";"HR185-H0303000";"FRHR185-H0303000";"ru de belle fontaine";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0303000";;;"2";"Station qualité située sur un cours d'eau";;2013-02-13;;2014-07-04;;"Non renseignée";"M";"Station de mesure Manuelle";41;;;;
"03132620";"LE COURS D'EAU NUMÃRO 01 DE LA COMMUNE DE GRANDRU A APPILLY";;708980;6942754;"26";"RGF93 / Lambert 93";"60021";"Appilly";"60";"Oise";"32";"Hauts-de-France";"HR185-H0300760";"FRHR185-H0300760";"le grand ru";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0300760";"H0300760";"Cours d'Eau 01 de la Commune de Grandru";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2014-03-05;;"Non renseignée";"M";"Station de mesure Manuelle";44;;;;
